"sum(2023)_Current Assets";"sum(2023)_Current Liabilities";"sum(2023)_End Cash Position";"sum(2023)_Net Income";"sum(2023)_Total Assets";"sum(2023)_Total Equity Gross Minority Interest";"sum(2023)_Total Liabilities Net Minority Interest";"sum(2023)_Total Revenue";"id";"cluster"
0.40190037010818763;0.20193291839672767;-0.047221963717479505;0.08027302953664292;0.012270920268896925;0.5846731372459192;-0.10890962543357349;0.6603113131619205;1;"cluster_0"
-0.3125998547797796;-0.2757854635634744;-0.17307072785679628;-0.10683419707518607;-0.18260047619816466;-0.2834608951504097;-0.15664096613808703;-0.29657419808377433;2;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.1308044656845923;-0.0850051161864571;-0.1662789802755775;-0.22010200563686896;-0.15066849738368093;-0.26537980599654143;3;"cluster_0"
-0.32540759633255595;-0.3055870090221507;-0.17498274700859967;-0.09934821411849304;-0.18443481647699897;-0.27938091134788945;-0.15967732952561173;-0.3058559490035936;4;"cluster_0"
0.25313762605507534;-0.20582313555146084;-0.033593795120636843;0.03052031084471654;-0.13157516566364075;-0.0425243732981838;-0.1470196537089081;0.04860319100523225;5;"cluster_0"
-0.10404569187996027;-0.021927745966112536;-0.1567305204575571;-0.14536568463528377;-0.16665861975888924;-0.2642444096601379;-0.14179759050868102;-0.19648923987652053;6;"cluster_0"
0.025082031006052583;0.030947090352650815;-0.15764651010658978;-0.07963080372208914;-0.1391412238446947;-0.1808417717114426;-0.12678336125943077;-0.27555998543015614;7;"cluster_0"
-0.1997727622209998;-0.26659870406903957;-0.1289176606970676;-0.03204878251676596;-0.1702293733145991;-0.21317326704706735;-0.15681524622062878;-0.23487668019713723;8;"cluster_0"
2.5950248334716797;2.9607001774928996;0.10040654653972254;-0.06298064408068643;0.09169077808677122;0.07359014632847369;0.09317188087062846;0.6289900456479065;9;"cluster_0"
1.2235023397413343;0.5124909581662148;-0.0872147591153083;0.23139978078946272;0.02700797803830934;0.1460907671600189;0.0011731558874426423;0.04931006864129524;10;"cluster_0"
-0.32546558235909656;-0.30566601616341044;-0.17499391973009654;-0.0994006428384964;-0.18444844189056064;-0.2794051470060235;-0.1596883666270595;-0.30592060533755844;11;"cluster_0"
-0.32538084108276677;-0.3056421778140466;-0.17495841896226288;-0.09932234631341037;-0.18443796215184116;-0.2793702233775616;-0.15968331597067598;-0.3058749070705155;12;"cluster_0"
-0.3250316269158726;-0.30539041456186417;-0.17479179829706337;-0.09911808483187871;-0.18437810435119387;-0.27912628056562944;-0.15966385742527717;-0.3056219262837903;13;"cluster_0"
-0.1295454842541656;-0.09078371074596592;-0.13604775049011922;-0.08249413147404903;-0.12960620720320223;-0.1378860926142306;-0.12454882344540594;-0.18424791121963266;14;"cluster_0"
