"sum(2020)_Basic EPS";"sum(2021)_Basic EPS";"sum(2022)_Basic EPS";"sum(2022)_Net Income";"sum(2022)_Total Assets";"sum(2022)_Total Liabilities Net Minority Interest";"sum(2022)_Total Revenue";"sum(2023)_Basic EPS"
1.760398974725115;4.065586447435747;2.7094043651092674;0.256604933851457;0.024933384030403898;-0.10193343599762568;0.7512636260464851;1.6200401346311268
-0.16588932199930204;-0.2894992562770961;-0.2755318661385989;-0.16635293458945188;-0.18562818231290776;-0.15932110223233364;-0.301095684077072;-0.2500151658641751
0.8536683242934751;0.8119492261825454;0.2290505610231677;-0.13898070353166375;-0.17042931064041375;-0.15407891227980952;-0.2727394606772552;0.2648742933609749
-0.10998339705697661;-0.25514354715949095;-0.2567227369099915;-0.160961430743063;-0.1884509611052835;-0.16241297252370643;-0.30929614761152613;-0.23079844115348994
0.07527307377519635;-0.08164615301467111;-0.12864444616005727;-3.354842813020002E-4;-0.1355759483442349;-0.15106865984925347;0.01923165382044462;-0.10012729785984217
-2.521077377131948;-0.6013000044428324;-0.3727844330356928;-0.26960784475067195;-0.17306371034985904;-0.14999146447010625;-0.2589858793399182;-0.34925429684137976
-0.08114919817307549;-0.23062276177878596;-0.24140583790405254;-0.1356246812822022;-0.1423481765432163;-0.12907111232635943;-0.28056826470148233;-0.21519205019995366
0.8839157249464559;1.6472428012984404;1.7898534027582347;-0.07274729991783957;-0.17645950556436457;-0.15974175577887934;-0.24663833846978991;2.033024739877644
-0.08329962415932746;-0.1899811985145508;-0.19557378835649317;-0.14137586104518612;0.10326949342768607;0.10663553651270569;0.34896684748112294;-0.14524212890932284
4.32347728491398;4.861857469168703;5.053650870538978;0.22732487965026438;-0.0068191419682854;-0.03408086935721027;0.011705877068048522;6.328550538380927
-0.10997021783240639;-0.2553699201556562;-0.257069750999423;-0.16103318536008138;-0.18846417081438896;-0.16242452766925058;-0.3093594471349043;-0.2311691791106632
-0.10993042953737601;-0.2553543364462295;-0.25702014921419836;-0.1609463614801204;-0.18845603868011251;-0.16241856515755498;-0.30932225864191093;-0.23112531278279158
-0.10990760571305472;-0.25524686200623126;-0.25678133315227014;-0.16042369043092283;-0.18838675960281506;-0.16238802082343087;-0.3089726966922579;-0.23097350154502672
0.02657475872389735;0.026857638661999708;-0.14914651738623821;-0.13699884402846638;-0.1297922768212998;-0.12490096038848365;-0.18242929899768556;-0.12104816192168061
-0.10375499490940361;-0.8523943155079742;-0.2553935413373986;-0.15825464993555616;-0.08706204170734454;-0.07168337754930895;-0.273729316347391;-0.22784579862445273
-0.16429593646453264;-0.25170011267589193;-0.24130663433360328;-0.13600326606947263;-0.05491789681950831;-0.04037076351780206;-0.28351959691953643;-0.21171648729935794
0.9400894690162772;0.006186232005091174;-0.27920239824522164;-0.17611180279453095;-0.17514064927435263;-0.153372031006207;-0.22019171946284113;-0.224336492394725
0.35674674213736285;0.7613253731452184;0.7978176982656072;-0.11372964811273155;-0.1622693481518779;-0.1467187039088375;-0.15846676249217814;0.845259554431332
0.09190914413433576;-0.017775725099243588;0.14562035827533773;0.42029185574765576;0.009891296000221298;-0.041264603370694916;2.000555336517934;0.24418963260306042
